Datetime;PRICE;Production;Load;EF_scope2_production;Emissions_scope2_production;EF_scope3_production;Emissions_scope3_production
01/01/2019 00:00;;3531.0;;65.66398905806611;231859.54536403142;89.11432813344861;314662.69263920706
01/01/2019 01:00;;2936.0;;52.7069988140932;154747.74851817763;74.02013396929463;217323.11333384903
01/01/2019 02:00;;2902.0;;53.033916615346044;153904.42601773422;74.40235641940035;215915.6383290998
01/01/2019 03:00;;2820.0;;55.154008190244696;155534.30309649004;76.8761233404072;216790.6678199483
01/01/2019 04:00;;2743.0;;57.73940523620572;158379.18856291228;79.82482608056056;218959.4979389776
01/01/2019 05:00;;2962.0;;52.09565810601299;154307.3393100105;73.32491034172648;217188.38443219385
01/01/2019 06:00;;2974.0;;50.905760095038374;151393.73052264412;71.95393930572624;213991.01549522983
01/01/2019 07:00;;2918.0;;53.09863400671029;154941.81403158064;74.48004506756273;217332.77150714805
01/01/2019 08:00;;3186.0;;48.632082244689464;154941.81403158064;69.64329450208017;221883.5362836274
01/01/2019 09:00;;3131.0;;49.21248787946486;154084.29955060448;71.4242034153167;223629.18089335656
01/01/2019 10:00;;3321.0;;47.50932468150321;157778.46726727215;71.11825962467748;236183.7402135539
01/01/2019 11:00;;3345.0;;47.18256066455185;157825.66542292593;71.31110588608033;238535.6491889387
01/01/2019 12:00;;3249.0;;48.5504812372205;157740.5135397294;72.05968040273508;234121.9016284863
01/01/2019 13:00;;3448.0;;45.75757142735553;157772.10628152188;67.8311274639849;233881.72749581994
01/01/2019 14:00;;3384.0;;52.61390386154772;178045.45066747747;75.12657247717188;254228.32126274964
01/01/2019 15:00;;3641.0;;46.336406009455104;168710.85428042602;67.95331329630868;247418.01371185988
01/01/2019 16:00;;3906.0;;47.515639119499426;185596.08640076476;68.90129104533047;269128.4428230608
01/01/2019 17:00;;3948.0;;47.062088956109;185801.12719871834;68.09321250245064;268832.00295967516
01/01/2019 18:00;;3561.0;;56.53880006910939;201334.66704609853;79.15274435891918;281862.9226621112
01/01/2019 19:00;;3486.0;;47.83931096002466;166767.83800664596;69.70168930599135;242980.08892068584
01/01/2019 20:00;;3210.0;;49.07658260537689;157535.83016325982;70.73117799185992;227047.08135387037
01/01/2019 21:00;;3073.0;;52.355656536117664;160888.93253548958;75.09402613520871;230763.94231349637
01/01/2019 22:00;;2820.0;;59.12130822110987;166722.08918352984;81.88555262479744;230917.2584019288
01/01/2019 23:00;;2705.0;;71.6954913251882;193936.3040346341;96.51731907941982;261079.3481098306
02/01/2019 00:00;;2698.0;;86.42972825652694;233187.40683610967;113.43339255924406;306043.2931248405
02/01/2019 01:00;;2696.0;;86.46095601303807;233098.73741115062;113.6956002176452;306523.33818677143
02/01/2019 02:00;;2626.0;;87.96876250466893;231005.9703372606;115.33859205192583;302879.1427283572
02/01/2019 03:00;;2543.0;;92.91749035107378;236289.17796278064;120.97620667181366;307642.49356642214
02/01/2019 04:00;;2844.0;;87.55068389945004;248994.1450100359;114.88585520519271;326735.37220356805
02/01/2019 05:00;;3234.0;;102.72639831860933;332217.1721623826;132.9826272428457;430065.816503363
02/01/2019 06:00;;3854.0;;135.49023927304336;522179.38215830905;171.7276893846168;661838.5148883131
02/01/2019 07:00;;3980.0;;171.6732325197345;683259.4654285434;213.67607779547063;850430.7896259731
02/01/2019 08:00;;4088.0;;207.20490183342446;847053.6386950392;255.15951107465256;1043092.0812731796
02/01/2019 09:00;;3989.0;;212.2871867645271;846813.5880036986;262.9370144302743;1048855.7505623642
02/01/2019 10:00;;3854.0;;227.66391148099854;877416.7148477683;282.2979356851007;1087976.2441303781
02/01/2019 11:00;;3783.0;;240.7142962012056;910622.1825291608;298.11645737882475;1127774.558264094
02/01/2019 12:00;;3401.0;;269.21520859297516;915600.9244247085;330.72794698586944;1124805.747698942
02/01/2019 13:00;;3053.0;;318.8650091425315;973494.8729121487;386.3030118792886;1179383.0952674681
02/01/2019 14:00;;2674.0;;355.63334696886136;950963.5697947353;426.79245965355426;1141243.0371136041
02/01/2019 15:00;;2728.0;;367.10612888885817;1001465.5196088051;440.12178745684236;1200652.236182266
02/01/2019 16:00;;2792.0;;410.299757096282;1145556.9218128193;489.6226774185703;1367026.5153526482
02/01/2019 17:00;;2759.0;;405.47046951661446;1118693.0253963394;484.1797399159471;1335851.902428098
02/01/2019 18:00;;2631.0;;402.06762334073784;1057839.9170094812;480.3559812317521;1263816.5866207397
02/01/2019 19:00;;2438.0;;446.4970631187597;1088559.839883536;531.2516252799398;1295191.4624324932
02/01/2019 20:00;;2198.0;;448.1620820736407;985060.2563978622;533.5444631149376;1172730.7299266327
02/01/2019 21:00;;2213.0;;402.86425961809806;891538.606534851;481.4746555912005;1065503.4128233267
02/01/2019 22:00;;2274.0;;350.20629769337194;796369.1209547278;421.19236374489134;957791.435155883
02/01/2019 23:00;;2155.0;;307.8498237583945;663416.3701993402;372.80981648302287;803405.1545209143
03/01/2019 00:00;;2209.0;;276.0067127202659;609698.8283990674;336.45228316160086;743223.0935039762
03/01/2019 01:00;;2428.0;;320.131181818285;777278.5094547959;386.2937138140782;937921.137140582
03/01/2019 02:00;;2298.0;;297.9469071894743;684681.992721412;360.5130852700998;828459.0699506893
03/01/2019 03:00;;2332.0;;302.2731763689902;704901.0472924853;365.42728356416524;852176.4252716333
03/01/2019 04:00;;2211.0;;316.1837862449753;699082.3513876403;381.5791625429674;843671.528382501
03/01/2019 05:00;;2464.0;;373.2130517225072;919596.9594442578;446.59051525624017;1100399.0295913757
03/01/2019 06:00;;2745.0;;391.02870352714984;1073373.7911820263;466.8606382614432;1281532.4520276617
03/01/2019 07:00;;2811.0;;414.6660971636373;1165626.3991269844;494.38345313465715;1389711.8867615212
03/01/2019 08:00;;2705.0;;425.1044908015405;1149907.647618167;507.20510776011304;1371989.8164911058
03/01/2019 09:00;;2636.0;;436.34756799913566;1150212.1892457216;522.2063340446472;1376535.89654169
03/01/2019 10:00;;2506.0;;452.25485642934734;1133350.6702119445;541.6787463064314;1357446.9382439172
03/01/2019 11:00;;2298.0;;442.23920036115334;1016265.6824299304;530.8593963093546;1219914.8927188967
03/01/2019 12:00;;2302.0;;444.0499646817248;1022203.0186973305;532.2898398554721;1225331.2113472968
03/01/2019 13:00;;2429.0;;471.9895426339747;1146462.5990579245;562.4299090085835;1366142.2489818493
03/01/2019 14:00;;2530.0;;462.4775938588588;1170068.3124629129;550.2540692630282;1392142.7952354613
03/01/2019 15:00;;2698.0;;443.966610470413;1197821.9150491743;528.3625600714757;1425522.1870728417
03/01/2019 16:00;;2884.0;;418.15642999646485;1205963.1441098046;498.2618893224282;1436987.288805883
03/01/2019 17:00;;3117.0;;363.6504439753349;1133498.4338711188;435.37307243317787;1357057.8667742154
03/01/2019 18:00;;3191.0;;327.49397846500875;1045033.2852818429;393.6994822734568;1256295.0479346006
03/01/2019 19:00;;3248.0;;299.13290199085105;971583.6656662842;360.8854558997014;1172155.9607622302
03/01/2019 20:00;;3405.0;;229.99259870195485;783124.7985801563;281.25222803774676;957663.8364685277
03/01/2019 21:00;;3609.0;;205.21268943479282;740612.5961701673;252.18058792523934;910119.7418221887
03/01/2019 22:00;;3746.0;;202.35742739515206;758030.9230222396;248.22930884668096;929866.9909396669
03/01/2019 23:00;;3889.0;;177.89444024221658;691831.4781019803;220.09794615067102;855960.9125799596
04/01/2019 00:00;;3785.0;;139.06082284601084;526345.214472151;175.1734776098622;663031.6127533284
04/01/2019 01:00;;4158.0;;135.53333621473723;563547.6119808775;171.60213195119846;713521.6646530832
04/01/2019 02:00;;4267.0;;148.4794515381894;633561.8197134542;186.4691721243433;795663.9574545728
04/01/2019 03:00;;4331.0;;155.13054841869626;671870.4052013735;194.16247914965558;840917.6971971584
04/01/2019 04:00;;3989.0;;133.90784397066966;534158.3895990013;169.13206129529934;674667.792506949
04/01/2019 05:00;;4027.0;;150.15103883411322;604658.233384974;188.3114986320436;758330.4049912395
04/01/2019 06:00;;3671.0;;169.38634206138062;621817.2617073283;210.4594713910766;772596.7194766422
