Informations,Time,CO2 PS,MeOH,H2O wwtp,H2_from_AEC,H2_pipeline_to_MeOHCCU_plant,Heat_import,Heat_export,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,Solar_fixed,Solar_tracking,SP198-HH100,SP198-HH150,SP237-HH100,SP237-HH150,SP277-HH100,SP277-HH150,SP321-HH100,SP321-HH150,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Power_to_the_grid,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Electricity consumption
 ,11,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,1683.633243572238,-0.0,43892.74226788613,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,43636.322782898926,0.0,67504.69777205776,247435.7196809064
 ,12,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,1964.238784167611,-0.0,24116.891355981395,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,24802.179057275363,0.0,92306.87682933312,246494.01249462523
 ,13,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,2244.844324762984,-0.0,19775.85091190474,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,20667.854824821407,0.0,112974.73165415453,246287.29628300254
 ,14,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,2525.449865358357,-0.0,11576.107850871069,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,12858.575719075052,0.0,125833.30737322959,245896.8323277152
 ,15,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,2806.05540595373,-0.0,8199.743061033674,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,9642.990204944199,0.0,135476.29757817378,245736.05305200865
 ,16,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,3086.660946549103,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,137310.00867737163,245345.58909672135
 ,17,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,3367.266487144476,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,139143.7197765695,245345.58909672135
 ,18,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,3647.872027739849,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,140977.43087576734,245345.58909672135
 ,19,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,3928.477568335222,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,142811.1419749652,245345.58909672135
 ,20,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,4209.083108930595,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,144644.85307416305,245345.58909672135
 ,21,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,4489.688649525968,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,146478.5641733609,245345.58909672135
 ,22,31766.93453357302,21758.174338063713,52945.81981046695,4606.286323510624,4325.680782915251,0.0,47748.93090827833,36573.91340867436,280.605540595373,0.0,4770.294190121341,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,247179.30019591918,-0.0,0.0,1833.7110991978434,0.0,148312.27527255876,245345.58909672135
 ,23,31766.93453357302,21758.174338063713,52347.43029527467,4554.226435688896,4325.680782915251,0.0,47376.49447080169,36160.55789936984,228.54565277364583,0.0,4998.839842894987,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,242652.01617127814,-0.0,0.0,0.0,0.0,148312.27527255876,242652.01617127814
 ,24,31766.93453357302,21758.174338063713,51731.08909462661,4500.604751232515,4325.680782915251,0.0,46992.88494020074,35734.80172478617,174.92396831726387,0.0,5173.76381121225,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,239972.07217968028,-0.0,0.0,0.0,0.0,148312.27527255876,239972.07217968028
 ,25,31766.93453357302,21758.174338063713,51743.056884930455,4501.645948988949,4325.680782915251,0.0,47000.33366895027,35743.06883497226,175.9651660736984,0.0,5349.7289772859485,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,240024.10992708994,-0.0,0.0,0.0,0.0,148312.27527255876,240024.10992708994
 ,26,31766.93453357302,21758.174338063713,51581.49171582853,4487.589779277082,4325.680782915251,0.0,46899.77583083157,35631.46284746003,161.908996361832,0.0,5511.63797364778,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,239321.6003370594,-0.0,0.0,0.0,0.0,148312.27527255876,239321.6003370594
 ,27,29929.638874243035,20499.75265359112,46844.799372937356,4075.49754544555,4075.4975454455507,0.0,43095.94124455943,32359.45051083767,0.0,0.0,5511.63797364778,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,217856.02953057174,-0.0,0.0,0.0,0.0,148312.27527255876,217856.02953057174
 ,28,23616.99797469529,16176.026010065267,36964.47981093958,3215.9097435517433,3215.909743551743,0.0,34006.31599221355,25534.323363800842,0.0,0.0,5511.63797364778,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,171906.69856783558,-0.0,0.0,0.0,0.0,148312.27527255876,171906.69856783558
